Item	Aggregate	PMC_comm_use_A-B	PMC_non_comm_use_O-Z	DeGruyter	PsychOpen	ScienceOpen
td	2.3	2.4	2.0	1.9	2.4	2.3
surname	2.2	2.2	2.1	1.6	2.1	2.2
given-names	2.2	2.2	2.1	1.6	2.1	2.2
name	2.1	2.2	2.1	1.6	2.1	2.1
xref	1.9	1.9	1.8	1.7	2.0	2.0
italic	1.8	1.8	1.6	2.4	2.0	1.7
p	1.7	1.7	1.6	1.8	1.8	1.8
pub-id	1.6	1.7	1.5	.0	1.8	1.7
tr	1.6	1.7	1.3	1.2	1.7	1.6
year	1.6	1.6	1.5	1.3	1.7	1.7
ref	1.6	1.6	1.5	1.4	1.8	1.6
label	1.5	1.6	1.5	1.3	1.0	1.7
source	1.5	1.6	1.5	1.3	1.6	1.6
article-title	1.5	1.5	1.5	1.1	1.6	1.6
volume	1.5	1.5	1.5	1.1	1.6	1.6
fpage	1.5	1.5	1.5	1.1	1.6	1.6
lpage	1.5	1.5	1.4	1.1	1.6	1.5
person-group	1.4	1.4	1.4	.4	1.6	1.5
element-citation	1.3	1.4	1.3	1.3	-9	1.3
sup	1.3	1.3	1.3	1.4	1.2	1.6
title	1.3	1.3	1.2	1.1	1.4	1.3
sec	1.2	1.3	1.1	.6	1.3	1.2
bold	1.2	1.3	1.0	.8	.9	1.3
mixed-citation	1.1	1.1	1.1	1.4	1.8	1.4
hr	1.1	1.3	.0	-.9	.7	.3
sub	1.1	1.2	.9	1.8	.8	1.0
issue	1.0	1.1	.9	.7	1.4	1.0
th	1.0	1.1	.9	.4	1.5	1.1
string-name	1.0	1.0	1.0	-9	-9	1.6
contrib	.8	.8	.8	.5	.7	1.0
etal	.8	.7	.8	.0	.1	1.0
caption	.8	.8	.6	.1	.6	.8
article-id	.6	.6	.6	.3	.3	.5
ext-link	.6	.6	.5	.8	.7	.7
graphic	.6	.6	.6	1.2	.1	.6
month	.6	.6	.5	.7	.5	.6
kwd	.5	.5	.5	.7	.7	.6
aff	.5	.5	.5	.4	.6	.7
day	.5	.5	.5	.7	.5	.5
fig	.5	.5	.4	-.1	.1	.5
email	.4	.6	.1	.2	.0	.3
list-item	.4	.5	.4	.7	.3	.2
publisher-name	.4	.4	.3	.8	.2	.5
journal-id	.4	.3	.4	.5	.3	.5
named-content	.4	.6	-.5	-9	-9	.0
col	.4	.5	.2	.0	1.3	.5
break	.4	.4	.3	-1.3	-.1	.5
pub-date	.4	.4	.3	.5	.3	.4
def	.4	.5	-.2	-.4	-9	.2
term	.4	.5	-.2	-.4	-9	.2
def-item	.4	.5	-.2	-.4	-9	.2
table-wrap	.3	.4	.2	.0	.5	.3
table	.3	.4	.1	.0	.5	.3
fn	.3	.1	.5	.8	.6	.6
mml:math	.3	.3	.2	1.4	.2	.1
inline-formula	.3	.3	.2	1.0	.2	.0
institution	.3	.4	.1	.5	.3	.8
citation	.3	.4	-.2	-9	-9	-9
tbody	.3	.3	.1	.0	.5	.3
date	.2	.3	.2	.2	.3	.3
thead	.2	.3	.1	-.4	.5	.3
publisher-loc	.2	.2	.1	.7	-9	.4
issn	.1	.1	.2	.1	.0	.2
institution-id	.1	.3	-.4	-9	-9	.6
inline-graphic	.1	.2	-.1	1.0	-9	-.4
table-wrap-foot	.1	.1	.0	-1.3	.3	.1
subject	.1	.1	.1	-.2	.1	.3
subj-group	.1	.0	.1	-.2	.1	.3
address	.0	.2	-.9	-9	-9	-.1
contrib-group	.0	.0	.0	.0	.0	.0
title-group	.0	.0	.0	.0	.0	.0
permissions	.0	.0	-.0	.0	.0	.1
article-categories	.0	.0	.0	-.0	.0	-.0
front	.0	.0	.0	.0	.0	.0
article-meta	.0	.0	.0	.0	.0	.0
journal-title	.0	.0	.0	.0	.0	-.0
journal-meta	.0	.0	.0	.0	.0	-.0
article	.0	.0	.0	.0	.0	.0
alternatives	-.0	.1	-.3	1.4	-9	-.1
comment	-.0	-.2	.2	.6	.5	.0
publisher	-.0	-.0	-.0	.0	.0	-.0
license	-.0	.0	-.0	.0	.0	.0
body	-.0	-.0	-.0	-.2	.0	.0
abstract	-.0	-.0	-.0	-.0	.1	.0
tex-math	-.0	.1	-.4	1.4	-9	-.1
journal-title-group	-.0	-.0	-.0	.0	.0	-.0
copyright-statement	-.0	-.0	-.0	.0	-9	.0
license-p	-.0	-.0	-.0	.0	.0	.0
back	-.0	-.0	-.1	-.1	.0	-.0
ref-list	-.0	-.0	-.1	-.1	.2	-.0
collab	-.0	-.0	-.1	-.8	-.9	.1
media	-.1	.0	-.4	-9	-9	.1
history	-.1	-.0	-.2	-.1	-.0	-.1
supplementary-material	-.1	.0	-.4	-9	-9	.1
institution-wrap	-.1	.0	-.5	-9	-9	.4
notes	-.2	.0	-.9	-1.7	-.9	.2
copyright-year	-.2	-.3	-.1	.0	.0	-.3
kwd-group	-.2	-.2	-.2	.1	.0	-.1
elocation-id	-.2	-.1	-.4	-9	.4	.0
ack	-.2	-.2	-.3	-.4	-.0	-.2
list	-.2	-.3	-.2	.2	-.3	-.3
disp-formula	-.2	-.2	-.4	1.2	-9	-.4
funding-source	-.3	-.3	-.4	-1.1	-9	.1
author-notes	-.3	-.5	-.1	-1.2	.0	-.2
country	-.3	-.4	-.2	.4	.6	.0
corresp	-.3	-.5	-.1	-1.2	.0	-.2
contrib-id	-.4	-.3	-.4	-.7	-.7	.2
colgroup	-.4	-.2	-.7	-.5	-9	-.8
award-group	-.4	-.3	-.6	-1.1	-9	.1
custom-meta	-.4	-.3	-.5	-9	-9	-.1
meta-value	-.4	-.3	-.5	-9	-9	-.1
meta-name	-.4	-.3	-.5	-9	-9	-.1
fn-group	-.4	-.4	-.4	-1.0	.3	-.2
award-id	-.4	-.3	-.6	-1.0	-9	-.0
degrees	-.4	-1.2	-.1	-9	-9	-.1
custom-meta-group	-.5	-.4	-.7	-9	-9	-.2
suffix	-.5	-.5	-.5	-9	-.3	-.5
copyright-holder	-.5	-.5	-.5	.0	.0	-.3
sc	-.5	-.5	-.6	.2	-9	-.9
addr-line	-.5	-.7	-.3	-.1	.4	-.1
self-uri	-.5	-.5	-.7	-9	-9	-.5
funding-group	-.6	-.4	-.9	-1.5	-9	-.1
underline	-.6	-.6	-.6	-.2	-.6	.0
disp-quote	-.6	-.5	-.8	.1	.3	-.6
floats-group	-.6	-.7	-.6	-2.8	-9	-1.2
styled-content	-.7	-.7	-.7	-9	-9	-.9
edition	-.7	-.7	-.8	-.8	-9	-1.0
def-list	-.7	-.5	-1.4	-1.6	-9	-.8
chapter-title	-.7	-1.2	-.4	-.5	-9	-.5
glossary	-.8	-.6	-1.6	-2.5	-9	-.8
principal-award-recipient	-.8	-.7	-.9	-9	-9	-.3
uri	-.8	-.8	-.7	-9	-9	-.4
alt-text	-.8	-1.5	-.4	-9	-9	-1.1
object-id	-.9	-.8	-.9	-9	-9	-.6
x	-.9	-1.4	-.5	-9	-9	-9
alt-title	-.9	-.9	-.9	-9	.3	-.5
counts	-1.0	-1.2	-.8	.0	-9	-.5
page-count	-1.0	-1.2	-.8	.0	-9	-.5
date-in-citation	-1.0	-1.1	-.8	-9	-9	-1.5
app	-1.0	-.8	-1.4	-1.5	-.8	-1.2
phone	-1.0	-.8	-1.3	-9	-9	-1.5
app-group	-1.0	-.8	-1.5	-1.6	-1.0	-1.2
monospace	-1.0	-.8	-1.9	-1.8	-9	-9
issue-id	-1.1	-1.0	-1.4	-9	-9	-.9
city	-1.2	-1.3	-1.0	.4	-9	-.2
conf-date	-1.2	-1.1	-1.6	-9	-9	-1.4
conf-name	-1.2	-1.2	-1.4	-9	-9	-1.4
conf-loc	-1.2	-1.1	-1.5	-9	-9	-1.4
fig-count	-1.3	-1.4	-1.1	-1.6	-9	-.6
table-count	-1.3	-1.4	-1.2	-1.6	-9	-.6
ali:license_ref	-1.3	-1.4	-1.2	-9	-9	-1.2
season	-1.3	-1.7	-1.0	-9	-9	-1.0
boxed-text	-1.3	-1.5	-1.1	-9	-9	-1.3
chem-struct	-1.3	-1.1	-3.8	-9	-9	-9
role	-1.4	-1.3	-1.6	-9	-9	-.3
supplement	-1.5	-1.4	-1.6	-9	-1.0	-9
ref-count	-1.5	-1.6	-1.3	-1.6	-9	-.8
conference	-1.6	-1.4	-2.1	-9	-9	-9
word-count	-1.6	-1.6	-1.5	-9	-9	-.7
issue-title	-1.6	-2.7	-1.2	-9	-9	-1.4
series	-1.6	-1.7	-1.5	-9	-9	-2.0
attrib	-1.6	-1.8	-1.4	-2.5	-9	-1.1
sub-article	-1.6	-2.8	-1.3	-9	-9	-1.2
isbn	-1.7	-1.8	-1.6	-9	-9	-9
related-article	-1.7	-1.8	-1.6	.1	-9	-1.2
name-alternatives	-1.7	-9	-1.3	-9	-9	-2.3
statement	-1.7	-1.9	-1.9	.8	-9	-9
series-title	-1.8	-2.6	-1.4	-9	-9	-2.3
front-stub	-1.8	-2.8	-1.4	-9	-9	-1.2
trans-title	-1.8	-2.0	-1.6	-9	-9	-2.3
bio	-1.8	-1.9	-1.7	-9	-.0	-9
prefix	-1.8	-1.7	-2.1	-9	-9	-9
trans-title-group	-1.8	-2.1	-1.6	-9	-9	-9
trans-abstract	-1.8	-2.0	-1.7	-9	-1.4	-9
ali:free_to_read	-1.8	-1.9	-1.7	-9	-9	-2.3
funding-statement	-1.9	-2.1	-1.7	-2.8	-9	-1.4
page-range	-1.9	-2.6	-1.5	-9	-9	-.0
postal-code	-1.9	-1.8	-2.3	-9	-9	-2.0
volume-series	-1.9	-1.8	-2.2	-9	-9	-9
equation-count	-1.9	-2.0	-1.9	-9	-9	-1.1
inline-supplementary-material	-1.9	-1.9	-2.0	-9	-9	-9
subtitle	-2.0	-2.5	-1.6	-2.3	-9	-1.5
fax	-2.0	-2.5	-1.7	-9	-9	-2.3
size	-2.0	-1.9	-2.3	-9	-9	-9
note	-2.0	-2.3	-1.9	-9	-9	-9
compound-subject-part	-2.1	-1.9	-3.0	-9	-9	-9
roman	-2.2	-2.0	-3.1	-9	-9	-9
issue-sponsor	-2.3	-2.1	-5.4	-9	-9	-9
patent	-2.3	-2.2	-2.7	-9	-9	-9
state	-2.3	-2.6	-2.1	-1.3	-9	-.8
private-char	-2.4	-3.0	-2.0	-9	-9	-9
series-text	-2.4	-4.2	-2.0	-9	-.8	-9
compound-subject	-2.4	-2.2	-3.3	-9	-9	-9
disp-formula-group	-2.4	-3.0	-2.1	-9	-9	-9
glyph-ref	-2.4	-3.0	-2.1	-9	-9	-9
on-behalf-of	-2.5	-2.4	-2.6	-9	-9	-2.3
overline	-2.5	-3.6	-2.5	.3	-9	-9
journal-subtitle	-2.5	-3.8	-2.1	-9	-9	-9
fig-group	-2.5	-2.3	-3.4	-9	-9	-9
table-wrap-group	-2.5	-2.4	-3.4	-9	-1.7	-9
array	-2.6	-2.4	-3.1	-2.2	-9	-1.8
abbrev	-2.6	-2.5	-2.8	-9	-9	-9
compound-kwd-part	-2.7	-2.5	-3.4	-9	-9	-9
speech	-2.7	-2.9	-2.5	-9	-9	-9
speaker	-2.7	-2.9	-2.5	-9	-9	-9
verse-line	-2.7	-2.7	-2.6	-9	-9	-9
nlm-citation	-2.7	-2.9	-2.5	-9	-9	-9
access-date	-2.7	-4.0	-2.3	-9	-9	-9
conf-acronym	-2.7	-2.5	-3.9	-9	-9	-9
article-version	-2.7	-2.8	-2.6	-9	-9	-9
count	-2.7	-2.8	-2.7	-9	-9	-9
string-date	-2.8	-2.9	-2.6	-9	-9	-9
preformat	-2.8	-2.8	-2.8	-9	-9	-9
strike	-2.8	-2.7	-3.0	-2.2	-9	-2.3
custom-meta-wrap	-2.8	-9	-2.4	-9	-9	-9
issue-part	-2.9	-2.7	-3.2	-9	-9	-9
sans-serif	-2.9	-3.0	-2.8	-9	-9	-9
target	-2.9	-4.2	-2.5	-9	-9	-1.6
product	-2.9	-3.4	-2.6	-9	-9	-9
long-desc	-2.9	-9	-2.5	-9	-9	-2.3
issn-l	-3.0	-3.1	-2.8	-9	-9	-9
compound-kwd	-3.0	-2.8	-3.7	-9	-9	-9
open-access	-3.0	-2.8	-4.0	-9	-9	-2.0
string-conf	-3.1	-2.8	-9	-9	-9	-9
sig	-3.1	-3.8	-2.7	-9	-1.7	-2.0
trans-source	-3.1	-3.6	-2.8	-9	-9	-9
sec-meta	-3.2	-4.4	-2.8	-9	-9	-9
support-group	-3.2	-9	-2.8	-9	-9	-9
tfoot	-3.2	-3.4	-3.0	-9	-9	-9
glyph-data	-3.2	-3.8	-2.9	-9	-9	-9
floats-wrap	-3.3	-4.1	-2.9	-9	-9	-9
verse-group	-3.3	-3.2	-3.3	-9	-9	-9
sig-block	-3.3	-3.9	-2.9	-9	-1.7	-2.3
anonymous	-3.4	-3.3	-3.5	-9	-9	-9
author-comment	-3.4	-3.6	-3.2	-9	-9	-9
data-title	-3.5	-3.3	-3.9	-9	-9	-1.6
gov	-3.5	-3.5	-3.5	-9	-9	-9
related-object	-3.7	-5.3	-3.3	-9	-9	-9
code	-3.7	-5.6	-3.3	-9	-9	-9
article-version-alternatives	-3.7	-3.5	-4.9	-9	-9	-9
trans-subtitle	-3.8	-4.4	-3.5	-9	-9	-9
chem-struct-wrap	-3.8	-3.8	-3.8	-9	-9	-9
term-head	-3.8	-3.7	-4.2	-9	-9	-9
conf-sponsor	-3.8	-4.2	-3.6	-9	-9	-2.3
part-title	-3.8	-3.6	-4.8	-9	-9	-9
def-head	-3.9	-3.7	-4.8	-9	-9	-9
price	-4.0	-3.9	-4.1	-9	-9	-9
response	-4.0	-4.1	-3.9	-9	-9	-9
version	-4.0	-4.5	-3.7	-9	-9	-2.3
collab-alternatives	-4.1	-9	-3.7	-9	-9	-9
abbrev-journal-title	-4.1	-9	-9	-9	.0	-2.0
grant-sponsor	-4.4	-5.0	-4.0	-9	-9	-9
conf-theme	-4.4	-9	-4.0	-9	-9	-9
conf-num	-4.4	-9	-4.0	-9	-9	-9
gloss-group	-4.6	-9	-4.2	-9	-9	-9
grant-num	-4.8	-5.6	-4.4	-9	-9	-9
volume-id	-5.0	-5.3	-4.8	-9	-9	-9
textual-form	-5.5	-9	-5.1	-9	-9	-9
annotation	-5.8	-9	-5.4	-9	-9	-9